HDFC Top 100 Fund,Kotak Emerging Equity Fund,Quant Small Cap Fund,HDFC Gold ETF FoF,Invesco India Credit Risk Fund,Quant Multi Asset Fund
0.132,0.452,0.1083733685,-0.0866,0.1,0.0696
0.12,0.427,0.1074212515,-0.0926,0.09992536478,0.0709
0.129,0.432,0.107,-0.0974,0.1,0.07255951787
0.123,0.43,0.1074,-0.0886,0.101,0.07185206255
0.126,0.443,0.1086358714,-0.0882410893,0.1,0.0714
0.113,0.431,0.1093811122,-0.1000206313,0.102,0.0733
0.101,0.4247495148,0.1096760583,-0.1035,0.102,0.07261036532
0.112,0.438,0.1121,-0.1013,0.101,0.0715
0.13,0.457,0.1119,-0.1107,0.101,0.0724
0.131,0.463,0.1138,-0.1136,0.1014951758,0.0722
0.1345037776,0.4572552267,0.1148,-0.1054,0.101,0.0716
0.15,0.467,0.1144,-0.1173,0.101,0.07134963087
0.1576157664,0.48,0.1152,-0.1245,0.1,0.0732
0.178,0.497,0.1142467305,-0.1384492566,0.1,0.072
0.16,0.482,0.1147,-0.1251,0.101,0.0733
0.1420886468,0.462,0.1140814919,-0.1256,0.1022175446,0.0734
0.134,0.461,0.1119,-0.1157,0.1016559444,0.0729
0.098,0.4146454265,0.1122,-0.1104,0.102,0.0751
0.077,0.384,0.1124928208,-0.1107,0.103,0.0774
0.095,0.398,0.1111,-0.098,0.103,0.078
0.105,0.404,0.1117,-0.0872,0.102,0.0779
0.102,0.401,0.1115210323,-0.0832,0.104,0.0782
0.098,0.394,0.1114041309,-0.078,0.103,0.0773
0.079,0.38,0.1101,-0.0671,0.1024910893,0.0758
0.074,0.368,0.1109234407,-0.0529,0.103,0.0724
-0.011,0.264,0.1107,-0.0491,0.1020869065,0.0742
0.004,0.2783611384,0.1110707711,-0.0623,0.101,0.0748
-0.0210734805,0.2591460456,0.11,-0.0713,0.101,0.07508705054
-0.002310122674,0.277,0.1099,-0.07195247934,0.1,0.0751
-0.003,0.277,0.1105,-0.0586,0.101,0.0756
-0.005,0.271,0.1105,-0.0506,0.1,0.0762
-0.03442032244,0.238,0.1092,-0.0567,0.1003898563,0.0751
-0.058,0.217,0.1089582696,-0.0585,0.1,0.0749
-0.04368111074,0.226,0.1091,-0.0405,0.09997877994,0.0743
-0.0581403655,0.206,0.11,-0.0394,0.1,0.07377052178
-0.076,0.1779379157,0.11,-0.0406,0.098,0.07447656519
-0.059,0.175,0.1085,-0.03955041434,0.1,0.07350168104
-0.039,0.194,0.1086032183,-0.051,0.101,0.0731
-0.017,0.2218816317,0.1088,-0.0429,0.102,0.0735
-0.024,0.223,0.1077,-0.0468,0.102,0.0748
-0.02718812057,0.215,0.1076,-0.0397,0.102,0.0761
-0.031,0.204,0.1083987302,-0.0301,0.102,0.07386983639
-0.025,0.1984264935,0.1091,-0.034,0.1025886123,0.0772
0.007,0.225,0.1072,-0.0317,0.104,0.0772
0.018,0.243,0.1068,-0.04160325248,0.1038270195,0.0769
0.012,0.25,0.1057,-0.02010474562,0.103,0.07671577565
0.004,0.245,0.1066374484,-0.0402,0.103,0.0762
0.004,0.233,0.1103,-0.0344,0.103,0.0764
-0.009,0.232,0.111,-0.0326,0.101,0.0832
0,0.231,0.1089,-0.0401,0.100485318,0.08681222707
0.021,0.255,0.109,-0.0472,0.1,0.0853
0.01644407371,0.265,0.1099,-0.0527,0.101,0.0879
0.023,0.265,0.1094,-0.0389,0.101,0.0883
0.03804522427,0.278,0.1088,-0.0364,0.102,0.0868
0.03607197785,0.279,0.1081405926,-0.0377,0.1023612729,0.0879
0.033,0.2746849727,0.1067173191,-0.0418,0.103,0.0882
0.061,0.294,0.1065,-0.0575,0.103,0.087
0.047,0.293,0.1057,-0.0409,0.1021087152,0.08677423453
0.03,0.292,0.1054,-0.0416,0.102,0.0870046491
0.021,0.286,0.1064,-0.0581,0.1025948089,0.08711128851
0.027,0.277,0.1042,-0.037639814,0.102,0.0859
0.039,0.2648093299,0.1031,-0.0267,0.102,0.0855
0.035,0.2631530579,0.1025,-0.02508215838,0.102,0.0851
0.0292192264,0.252,0.1019115115,-0.018,0.104,0.0852848021
0.019,0.234,0.101,-0.0025,0.105,0.0855
0.003,0.217,0.098,0.005,0.106,0.084
-0.006,0.2038036267,0.09427138168,0.0033,0.1058133917,0.0842
-0.01,0.187,0.0947,0.01650019315,0.106,0.0839
-0.02,0.173,0.0938,0.0157,0.107,0.0829
-0.029,0.173,0.0941,0.004177237337,0.106,0.0834
-0.04,0.171,0.0932,0.0095,0.1067241803,0.08288327369
-0.041,0.163,0.09409318216,-0.0009,0.107,0.0829
-0.03432540542,0.17,0.0941,-0.001682058047,0.107,0.0816
-0.044,0.165,0.0912,-0.0041,0.107,0.0811
-0.064,0.135,0.0907,-0.0176,0.108,0.0747
-0.063,0.126,0.0925,-0.0336,0.107,0.0747
-0.0510299572,0.13,0.0933,-0.0249,0.107,0.0779
-0.066,0.1257011729,0.0924,-0.0273,0.107,0.07880463221
-0.07,0.12,0.0915,-0.0362,0.108,0.0783
-0.07172486909,0.119,0.09144680904,-0.0385,0.11,0.0766
-0.061,0.138,0.0907,-0.0492,0.107,0.0766
-0.077,0.123,0.09201068791,-0.05281866754,0.107,0.0758
-0.065,0.13,0.0906,-0.04887407084,0.107,0.0747
-0.077,0.13,0.0892,-0.0451,0.108,0.07456353623
-0.073,0.126,0.0861,-0.0361,0.1087633552,0.0734
-0.077,0.125,0.0857,-0.0472,0.109,0.0718
-0.076,0.11,0.0852,-0.05239224774,0.1100538682,0.0714
-0.069,0.108,0.0856,-0.05285416895,0.1094127308,0.0714
-0.062,0.106,0.0851,-0.0551,0.109,0.073
-0.047,0.123,0.0836,-0.0478,0.108,0.07491818018
-0.035,0.1327063741,0.0839,-0.0578,0.108,0.0734
-0.05,0.12,0.0815,-0.0815,0.1075304809,0.0738
-0.053,0.113,0.07891541492,-0.0698,0.1068619781,0.0694
-0.049,0.122,0.0782,-0.0646,0.107,0.0702
-0.05121041469,0.114279732,0.0822,-0.0679,0.108,0.07
-0.046,0.1288174907,0.0824,-0.113360118,0.109,0.07016953039
-0.03783189542,0.1351724138,0.0815,-0.074,0.11,0.0717
-0.07090029245,0.099,0.0832,-0.0707,0.109,0.0705
-0.075,0.086,0.08427594628,-0.0713,0.109,0.07236573394
-0.077,0.08,0.0821989299,-0.0719,0.109,0.0742
-0.064,0.087,0.0824,-0.0636,0.1090792607,0.0726
-0.047,0.101,0.083,-0.0631,0.11,0.0715
-0.06026347861,0.095,0.082,-0.075,0.112,0.07197107985
-0.056,0.098,0.081,-0.06864178944,0.113,0.0737
-0.063,0.089,0.0806,-0.0602,0.113,0.0735
-0.058,0.085,0.0812,-0.0664,0.114,0.07467576596
-0.06,0.087,0.081,-0.0731,0.113,0.07432596725
-0.064,0.08,0.0826,-0.0599,0.114,0.0732
-0.062,0.08,0.0839,-0.06998505007,0.115,0.0729
-0.03660724757,0.105,0.0834742715,-0.0789,0.116,0.0757
-0.034,0.111,0.08366206763,-0.0842,0.115,0.07551610829
-0.043,0.102,0.0836,-0.0677,0.115,0.07650638357
-0.07,0.084,0.0831,-0.0648,0.116,0.0766
-0.0742505335,0.082,0.0818,-0.06258561644,0.116,0.0772
-0.075,0.075,0.0818,-0.0524,0.117,0.0774
-0.1,0.052,0.0788,-0.049,0.118,0.07679883049
-0.116,0.051,0.0761,-0.047,0.119,0.0761
-0.121,0.041,0.0759,-0.0698,0.116,0.075
-0.1315876346,0.026,0.07313450799,-0.08107209986,0.113,0.0743
-0.1390022676,0.006,0.0712,-0.0988,0.115,0.072
-0.153,-0.008,0.0724,-0.09252097401,0.115,0.0717
-0.1713205025,-0.03,0.0729,-0.0893,0.117,0.0734
-0.189,-0.061,0.0729,-0.0779,0.1176159164,0.075
-0.186,-0.057,0.0726,-0.0657,0.117,0.0755
-0.206,-0.079,0.0724,-0.0669,0.118,0.0744
-0.209,-0.073,0.0726,-0.0639,0.118,0.0743
-0.174,-0.04259330512,0.0708,-0.0705,0.1169279693,0.07456077957
-0.173,-0.037,0.0733,-0.0678,0.116609556,0.0741
-0.16,-0.029,0.0738,-0.0584,0.116,0.0753
-0.158,-0.029,0.0731,-0.0336,0.116,0.0755
-0.142,-0.008,0.0725,-0.0509,0.115,0.0729
-0.142,0.009798498617,0.072,-0.0462,0.114,0.07238487777
-0.136862447,0.011,0.0725,-0.0353,0.115,0.07232326821
-0.1614200215,-0.006,0.07377558537,-0.0195,0.114,0.0728
-0.1670838833,-0.019,0.0745,-0.0087,0.113,0.0722
-0.164,-0.01446548277,0.0734,0.0005,0.112,0.0713
-0.1815940335,-0.028,0.0734,0.0133,0.112,0.071
-0.193,-0.044,0.0727,0.0195,0.1121982061,0.0735
-0.211,-0.063,0.07268238903,0.0282,0.1125387788,0.0703
-0.239,-0.093,0.0715,0.04816326531,0.112,0.0689
-0.2375265481,-0.106,0.0703,0.0688,0.112,0.0663
-0.1977654259,-0.074,0.0704,0.0545,0.112,0.0648
-0.216,-0.084,0.07,0.0569,0.112,0.0643
-0.208,-0.079,0.06990644366,0.05413770634,0.116,0.064
-0.191,-0.063,0.06695845169,0.0578,0.117,0.0613
-0.207,-0.07856375633,0.0662,0.07123727906,0.1,0.05804391613
-0.221,-0.095,0.0627,0.0521,0.119,0.05575099094
-0.238,-0.114,0.0617,0.0716,0.124,0.04978777589
-0.237,-0.117,0.0683,0.0719,0.123,0.0537
-0.249,-0.132,0.0678,0.08661572052,0.122,0.06845713478
-0.2256000225,-0.124,0.0691,0.08324106252,0.1252857683,0.0688
-0.226,-0.119,0.069,0.0911,0.125,0.069
-0.195,-0.096,0.068,0.0995,0.126,0.0666
-0.181,-0.07993683261,0.0711,0.0861,0.127,0.0667
-0.155,-0.064,0.0707,0.08685324111,0.127,0.06590201216
-0.148,-0.05740825339,0.0698,0.1019,0.126,0.06537673893
-0.1599736114,-0.06709433962,0.0697,0.1201670035,0.125,0.0649
-0.1523103284,-0.07,0.07187157624,0.121,0.126,0.0646
-0.151,-0.064,0.0724,0.1035,0.126,0.0680954027
-0.141,-0.051,0.0724,0.1126,0.126,0.0682
-0.128,-0.04107479694,0.07324964934,0.1137238373,0.126,0.0687
-0.131,-0.038,0.0742,0.1015,0.126,0.071
-0.125,-0.037,0.0768,0.0811,0.12,0.0719
-0.105,-0.024,0.077,0.0718,0.118,0.07542189818
-0.098,-0.014,0.0764,0.0692,0.1188268557,0.07546399014
-0.1,-0.01407367531,0.077,0.08215291244,0.12,0.07441883373
-0.099,-0.02215431627,0.074,0.08567143109,0.121,0.0772
-0.106,-0.039,0.075,0.0698,0.12,0.0772
-0.128,-0.063,0.076,0.0299,0.1191246024,0.0772
-0.128,-0.066,0.0758,0.0403,0.1198517595,0.079
-0.114,-0.05515975028,0.0774,0.0445,0.119,0.079
-0.12,-0.049,0.0772,0.05157583716,0.119,0.08123001541
-0.122,-0.052,0.07774139786,0.0607,0.119,0.0811
-0.124,-0.049300903,0.07618587098,0.047,0.1181171801,0.0823
-0.141,-0.052,0.0761,0.0667,0.118,0.0837
-0.135,-0.038,0.0770133635,0.0559,0.116,0.0833
-0.133,-0.024,0.0759,0.06660142445,0.1155000963,0.0874
-0.116,0.0004573170732,0.0746,0.058,0.117,0.088
-0.096,0.015,0.0755,0.05008181206,0.1175675203,0.0857
-0.094,0.022,0.0751,0.07269570469,0.12,0.0869
-0.075,0.036,0.0746,0.0722,0.119,0.0864
-0.05427101522,0.067,0.0744,0.0708,0.12,0.0847
-0.03824977751,0.096,0.0751,0.0847,0.121,0.08540973851
-0.048,0.078,0.0763,0.0825,0.121,0.0853
-0.03858683211,0.07,0.0765,0.08633658678,0.121,0.0841
-0.04,0.072,0.0765,0.0687,0.121,0.0846
-0.043,0.063,0.0777,0.073,0.1221598231,0.0853
-0.044,0.06109188774,0.0799,0.0829,0.123,0.0855
-0.028,0.076,0.0804,0.0863,0.123,0.0862
-0.015,0.095,0.0792,0.1025,0.124,0.0851
-0.03518885073,0.085,0.0788,0.1190645544,0.124,0.0853
-0.063,0.071,0.0787,0.11083118,0.123,0.0857
-0.04882846573,0.081,0.0794,0.1035,0.123,0.0856
-0.061,0.075,0.08041070197,0.092,0.122,0.0868
-0.064,0.072,0.0794,0.0829,0.1220196317,0.0864
-0.05335326533,0.06813989239,0.0785,0.0796,0.121,0.08639451273
-0.063,0.063,0.0785,0.0692,0.121,0.087
-0.068,0.058,0.0789,0.07378743146,0.122,0.0864
-0.066,0.06754392637,0.07860554076,0.0846,0.12236575,0.08607193291
-0.067,0.061,0.0768,0.0908,0.122,0.0862
-0.068,0.05921002659,0.07692848769,0.1025,0.123,0.0854
-0.057,0.069,0.07709875516,0.0929,0.1236235802,0.0856
-0.05354946407,0.069,0.07664939284,0.0926,0.1240444919,0.0852
-0.067,0.05853008378,0.0771,0.0908,0.125,0.0851
-0.072,0.054,0.0762,0.0965,0.124,0.0862
-0.089,0.046,0.07797313454,0.0941,0.118,0.086
-0.09223505024,0.045,0.0789,0.0898,0.116,0.0855
-0.04610000236,0.071,0.0803,0.06553233595,0.1179921434,0.08545147127
-0.01276195032,0.103,0.0796,0.0660326671,0.12,0.0861
-0.002,0.11,0.0796,0.0628,0.119,0.0853
0.005,0.112,0.07996791338,0.0631,0.12,0.0843
0.025,0.119,0.0802,0.0642,0.12,0.0842
0.02,0.125,0.0818,0.0676,0.121,0.0844
0.015,0.1205073996,0.0823,0.063,0.121,0.08525327209
0.035,0.135,0.0819,0.06722615804,0.123,0.0848
0.032,0.136,0.0826,0.08138093063,0.123,0.0841
0.041,0.147,0.0801,0.0743,0.1248184832,0.0841103975
0.038,0.153618148,0.07838223595,0.0861,0.125,0.0846
0.028,0.1359734686,0.0774,0.0837,0.121,0.0829
0.012,0.122,0.07699063984,0.094,0.12,0.0836
-0.004,0.117,0.0748,0.1022504415,0.121,0.0841
-0.01618187117,0.104,0.07543346934,0.1094,0.1195705955,0.0848
-0.007,0.101,0.0769,0.114,0.118,0.0848
-0.006,0.099,0.0774,0.1323,0.116,0.08521569117
-0.009446278642,0.1090867684,0.078,0.1146,0.115,0.0847
0.003597729588,0.106,0.0772,0.1190051342,0.114,0.0852
0.012,0.12,0.0767,0.1113,0.115,0.0854
0.003,0.1047130369,0.0775,0.1053,0.115,0.0847
-0.004,0.095,0.078,0.1181,0.115,0.0867
-0.031,0.079,0.0782,0.1465,0.114,0.0852
-0.029,0.084,0.0791,0.1562,0.113,0.087
-0.032,0.078,0.08,0.1596,0.113,0.0875
-0.023,0.089,0.0811,0.155,0.113,0.0896
0.006,0.117,0.0825,0.1557317073,0.113,0.0896
0.015,0.127,0.0833,0.1626980173,0.1127155886,0.09914313467
0.019,0.13,0.0828,0.1735,0.113,0.0969
0.004,0.116,0.083070648,0.1747,0.1127912242,0.09804858291
0.002,0.109,0.0852,0.1897,0.113,0.0989
-0.005119152692,0.107,0.0869,0.1932,0.112,0.1007
0.005,0.102,0.0865,0.1897,0.111,0.1046127248
0.012,0.103,0.08687966357,0.1923,0.11,0.1038
0.012,0.099,0.08746163148,0.1955,0.107,0.1032
0.028,0.123,0.08807243479,0.2054,0.106,0.1013401316
0.013,0.112,0.0886,0.1984,0.106,0.1034842845
0.008,0.1046943231,0.0881,0.1862,0.106,0.1048
0.027,0.11,0.08845627306,0.1960304823,0.107,0.1029
0.053,0.129,0.089,0.2007,0.107,0.103876049
0.04504284606,0.1286450663,0.08869026918,0.2052,0.108,0.1058
0.046,0.125,0.0875,0.2016827006,0.108,0.1044697116
0.052,0.1260625791,0.09013913816,0.2091906801,0.108,0.1045
0.029,0.114,0.0908,0.2129,0.108,0.1082
0.02836885383,0.1091974432,0.09353776521,0.2064,0.107,0.1084072622
0.02628470171,0.11,0.09315991647,0.2326163545,0.1079061219,0.1079231503
0.01697469197,0.1042815496,0.0918,0.2181,0.1084615593,0.1067
0.01130523016,0.11,0.0916,0.2333,0.108,0.104
0.01,0.109,0.0919,0.2359,0.1067723604,0.1051
0.002686376037,0.099,0.09252176725,0.2387,0.1068511177,0.1056
0.02,0.112,0.0937,0.22,0.1075195008,0.103
0.062,0.148,0.0935,0.2077,0.108,0.1029
0.06751216754,0.161,0.09485583904,0.1819,0.108,0.1037
0.041153274,0.137,0.0955,0.1911,0.108,0.104060092
0.022,0.118,0.0953,0.1998,0.109,0.1032
0.016,0.115,0.0953,0.1947,0.108,0.1037
0.029,0.117,0.095,0.1925,0.108,0.1052
0.051,0.132,0.0964,0.1829,0.11,0.1072
0.061,0.146,0.09417876065,0.172,0.109,0.1062
0.154,0.239,0.0947,0.172,0.109,0.1026
0.142,0.232,0.0945,0.1819,0.109,0.1027
0.145,0.232,0.09533170664,0.1877,0.109,0.1042
0.1183939623,0.205,0.0953,0.1912,0.109,0.105
0.1179862904,0.207,0.0946,0.1874,0.109,0.1040320906
0.117,0.21,0.0953,0.1645,0.109,0.104764952
0.1428904067,0.231,0.0958,0.1645,0.1090178379,0.1053
0.163,0.232,0.0956,0.1687,0.109,0.1061
0.1601731334,0.23,0.0952,0.1661,0.1093692991,0.1061648501
0.191,0.257,0.09490501459,0.1511,0.109,0.1053836992
0.204,0.2730588235,0.0958,0.1555,0.1089786997,0.1072
0.184,0.2654825894,0.09641656846,0.1578292011,0.109,0.1096
0.1834611155,0.258,0.0966,0.1637,0.109,0.1093
0.192,0.262524122,0.0958,0.1759,0.109,0.1080867086
0.197,0.266,0.0957,0.1790084633,0.109,0.1063
0.168,0.245,0.09576623776,0.172,0.109,0.1078198811
0.15,0.232,0.0945,0.1655,0.11,0.1046
0.153112341,0.237519084,0.0948,0.1781,0.111,0.1049
0.137,0.225,0.0954,0.1675,0.112,0.1057560414
0.136,0.218,0.09557344525,0.1749250416,0.112,0.1056
0.1667409103,0.239,0.0966,0.1613,0.112,0.1061
0.157,0.235,0.09671422979,0.1828,0.112,0.1083
0.155,0.232,0.097,0.1784,0.112,0.1024
0.188,0.243,0.0966,0.1841,0.112,0.0998
0.174,0.248,0.0971,0.1868,0.112438819,0.1027
0.152,0.23,0.0935,0.1926,0.112,0.1008
0.1494066323,0.228,0.0948,0.1952,0.112,0.0947
0.134,0.217,0.0965,0.1731,0.112,0.0975291631
0.102,0.192,0.0973,0.1785,0.112,0.101
0.112,0.202,0.09868343263,0.1802,0.111,0.1055994338
0.137,0.2265215788,0.0977,0.1802,0.109,0.1089
0.136,0.238,0.0972,0.1829,0.109,0.106
0.141,0.238,0.0974,0.1509,0.109,0.105
0.137,0.232,0.0975,0.1514,0.108,0.1063
0.143,0.227,0.0951,0.1339306175,0.11,0.1069
